"IL","ToplamSandik","ToplamSecmen","KullanilanOy","GecerliOy","Turnout","GecerliOy.Orani","Oy.SP","Parti.Oran.SP","Oy.BTP","Parti.Oran.BTP","Oy.TKP","Parti.Oran.TKP","Oy.VP","Parti.Oran.VP","Oy.CHP","Parti.Oran.CHP","Oy.MHP","Parti.Oran.MHP","Oy.DSP","Parti.Oran.DSP","Oy.Bagimsiz","Parti.Oran.Bagimsiz","Oy.AKP","Parti.Oran.AKP","Oy.IYI","Parti.Oran.IYI","Oy.HDP","Parti.Oran.HDP","Oy.DP","Parti.Oran.DP","Oy.BBP","Parti.Oran.BBP"
"Adana",4901,1536508,1279815,1222892,0.832937413928206,0.955522477858128,23252,0.0190139439950543,3202,0.00261838330776553,2568,0.00209994014189315,6188,0.00506013613630639,655867,0.536324548692771,523755,0.42829211410329,6391,0.00522613607742957,1669,0.00136479754549053,0,0,0,0,0,0,0,0,0,0
"Adiyaman",485,159663,128635,123641,0.805665683345547,0.961176973607494,34766,0.281185043796152,256,0.00207051059114695,268,0.00216756577510696,172,0.00139112430342686,0,0,6720,0.0543509030176074,331,0.00267710549089703,645,0.00521671613785071,65805,0.532226365040723,14678,0.11871466584709,0,0,0,0,0,0
"Afyonkarahisar",457,148907,131095,127368,0.880381714761563,0.971570235325527,741,0.00581778782739778,67,0.000526034796809246,111,0.000871490484266064,135,0.00105992085924251,0,0,20725,0.162717480057785,315,0.00247314867156586,0,0,54712,0.429558444821305,50562,0.396975692481628,0,0,0,0,0,0
"Agri",194,64435,48815,46427,0.757585163342904,0.951080610468094,949,0.0204406918388007,57,0.00122773386176148,64,0.00137850819566201,0,0,892,0.0192129579770392,0,0,67,0.00144312576733366,132,0.00284317315355289,25799,0.555689577185689,1227,0.0264285868137075,17240,0.371335645206453,0,0,0,0
"Amasya",231,74272,64868,63123,0.873384317104696,0.973099216871185,546,0.0086497790028991,46,0.000728735959951206,53,0.000839630562552477,42,0.000665367615607623,10887,0.172472791217147,29847,0.472838743405732,62,0.000982209337325539,43,0.000681209701693519,21597,0.342141533197091,0,0,0,0,0,0,0,0
"Ankara",12180,3925129,3362638,3263409,0.856694900982872,0.970490727815483,34175,0.0104721780199785,5573,0.0017077234266376,4628,0.00141814893566819,6764,0.0020726792136689,1662183,0.509339466796837,0,0,9698,0.00297173906182155,2694,0.000825517120287405,1537694,0.471192547425101,0,0,0,0,0,0,0,0
"Antalya",5437,1708975,1456390,1411008,0.852200880644831,0.968839390547862,13601,0.00963920828230598,2071,0.00146774504467728,2135,0.00151310268970835,3711,0.00263003469859845,714301,0.506234550052161,0,0,13477,0.00955132784505828,759,0.000537913321540346,652880,0.462704676373203,0,0,0,0,8073,0.00572144169274731,0,0
"Artvin",60,16812,14526,14054,0.864025695931477,0.967506539997246,120,0.00853849437882453,154,0.0109577344528248,0,0,0,0,7162,0.509605806176178,0,0,29,0.0020634694748826,512,0.0364309093496513,6077,0.432403586167639,0,0,0,0,0,0,0,0
"Aydin",2754,821282,709289,683704,0.863636363636364,0.963928666594294,5641,0.00825064647859308,1302,0.00190433286919486,1836,0.00268537261738998,2890,0.00422697541626201,368791,0.539401553888817,0,0,4188,0.00612545780045166,0,0,299056,0.437405660929291,0,0,0,0,0,0,0,0
"Balikesir",3382,942830,817225,785412,0.866778740600108,0.96107192021781,7810,0.009943825660927,2143,0.00272850427546307,1381,0.0017583128345378,3709,0.00472236227610477,0,0,0,0,5880,0.00748651663076194,1069,0.00136106909494635,375253,0.477778541708046,365196,0.464973797191792,10195,0.0129804484779963,12776,0.0162666218494243,0,0
"Bilecik",120,38977,33492,32512,0.859275983272186,0.970739281022334,299,0.00919660433070866,49,0.00150713582677165,28,0.000861220472440945,111,0.00341412401574803,16464,0.506397637795276,0,0,33,0.00101500984251968,0,0,13662,0.42021407480315,0,0,0,0,233,0.00716658464566929,1633,0.0502276082677165
"Bingöl",224,73020,52621,49100,0.720638181320186,0.93308755059767,1036,0.0210997963340122,37,0.000753564154786151,57,0.00116089613034623,0,0,573,0.0116700610997963,13233,0.269511201629328,65,0.00132382892057026,0,0,18954,0.386028513238289,0,0,14948,0.304439918533605,0,0,197,0.0040122199592668
